H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202601,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260103B01,最低落札価格（TSO別）[円/kW・30分],4.49,1.43,0.35,1.51,0.47,0.36,0.63,0.41,0.36,0.35
20260103B01,平均落札価格（TSO別）[円/kW・30分],4.5,2.29,4.59,1.53,0.47,4.19,2.8,4.54,2.18,2.97
20260103B01,落札量合計（TSO別）[MW],24,392.02,159.549,144.747,81,350.62,117.277,76,185.342,1530.555
20260103B01,（内訳）自エリアからの落札量[MW],24,392.02,159.549,144.747,81,325.353,16.006,50,70.342,1263.017
20260103B02,募集量（TSO別）[MW],23,251,240,0,78,232,213,74,245,1356
20260103B02,応札量合計（電源属地別）[MW],32.64,406.52,947.449,322.915,78,1062.831,282.711,85.543,487.342,3705.951
20260103B02,落札量合計（電源属地別）[MW],18,406.52,170.864,318.94,78,367.047,131.846,60.543,160.342,1712.102
20260103B02,応札件数（電源属地別）[件],4,5,30,10,1,10,6,5,9,80
20260103B02,落札件数（電源属地別）[件],1,5,27,10,1,10,5,4,9,72
20260103B02,最高落札価格（電源属地別）[円/kW・30分],4.5,19.51,19.51,19.51,0.56,19.51,19.49,17.56,19.51,19.51
20260103B02,最低落札価格（電源属地別）[円/kW・30分],4.5,1.43,0.36,0.96,0.56,0.36,0.52,0.44,0.36,0.36
20260103B02,平均落札価格（電源属地別）[円/kW・30分],4.5,2.81,5.42,4.68,0.56,5.13,1.74,5.67,1.45,3.72
20260103B02,最高落札価格（TSO別）[円/kW・30分],4.5,19.51,19.51,6.83,0.56,19.51,19.51,8.36,19.51,19.51
20260103B02,最低落札価格（TSO別）[円/kW・30分],4.5,1.43,0.36,1.47,0.56,0.36,0.52,0.44,0.36,0.36
20260103B02,平均落札価格（TSO別）[円/kW・30分],4.5,2.81,5.42,4.49,0.56,4.58,4.44,4.64,1.93,3.72
