H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202602,二次調整力2,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260201B06,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260201B06,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B06,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B06,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B06,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B06,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B06,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B06,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B06,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260201B06,合計（確報値）,募集量（TSO別）[MW],5,141,9,259,43,146,233,108,172,1116
20260201B06,合計（確報値）,応札量合計（電源属地別）[MW],208.99,188,711.099,0,131,703.404,304.51,108,303,2658.003
20260201B06,合計（確報値）,約定量合計（電源属地別）[MW],31,187,711.099,0,131,558.424,189.208,108,203,2118.731
20260201B06,合計（確報値）,応札件数（電源属地別）[件],7,2,10,0,2,7,7,5,6,46
20260201B06,合計（確報値）,約定件数（電源属地別）[件],2,2,10,0,2,6,7,5,3,37
20260201B06,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],0.36,1.89,5.27,0,1.81,8.7,2.31,6.83,1.45,8.7
20260201B06,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],0.36,1.51,0.36,0,1.8,0.36,0.65,0.36,1.04,0.36
