H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202608,二次調整力2,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260801B13,落札量合計（TSO別）[MW],71.14,330,854.577,353,45,28,49.352,112,462.98,2306.049
20260801B13,（内訳）自エリアからの落札量[MW],71.14,255,854.577,268.492,0,0,42.352,112,462.98,2066.541
20260801B14,募集量（TSO別）[MW],71,298,0,219,54,54,17,58,209,980
20260801B14,応札量合計（電源属地別）[MW],95.24,312,1396.12,208.022,0,0,58.15,167,550.98,2787.512
20260801B14,落札量合計（電源属地別）[MW],94.99,255,1186.977,208.022,0,0,58.15,145,529.99,2478.129
20260801B14,応札件数（電源属地別）[件],4,4,17,2,0,0,2,5,10,44
20260801B14,落札件数（電源属地別）[件],3,4,17,2,0,0,2,3,9,40
20260801B14,最高落札価格（電源属地別）[円/kW・30分],9.5,14.07,10.17,13.44,0,0,2.13,1.8,3.9,14.07
20260801B14,最低落札価格（電源属地別）[円/kW・30分],0.98,9.83,0.39,7.21,0,0,1.51,0.38,0.39,0.38
20260801B14,平均落札価格（電源属地別）[円/kW・30分],1.18,12.61,2.4,9.02,0,0,1.62,0.47,1.03,3.54
20260801B14,最高落札価格（TSO別）[円/kW・30分],9.5,14.07,10.17,13.44,8.63,1.69,2.13,1.8,3.9,14.07
20260801B14,最低落札価格（TSO別）[円/kW・30分],0.98,0.39,0.39,0.39,1.52,1.52,0.39,0.38,0.39,0.38
20260801B14,平均落札価格（TSO別）[円/kW・30分],1.18,11,2.1,5.86,3.89,1.58,1.34,0.47,1.05,3.54
20260801B14,落札量合計（TSO別）[MW],94.99,347,842.977,352.022,54,54,75.15,145,512.99,2478.129
20260801B14,（内訳）自エリアからの落札量[MW],94.99,255,842.977,208.022,0,0,58.15,145,512.99,2117.129
20260801B15,募集量（TSO別）[MW],71,328,37,236,59,106,25,60,227,1149
20260801B15,応札量合計（電源属地別）[MW],69.24,404,1391.35,208.022,0,0,160.485,189,492.99,2915.087
20260801B15,落札量合計（電源属地別）[MW],69.24,347,1296.019,208.022,0,0,160.485,171,492.99,2744.756
20260801B15,応札件数（電源属地別）[件],3,5,15,2,0,0,6,5,8,44
20260801B15,落札件数（電源属地別）[件],3,5,15,2,0,0,6,3,8,42
20260801B15,最高落札価格（電源属地別）[円/kW・30分],9.5,14.06,9.19,14.03,0,0,2.13,1.8,5.8,14.06
20260801B15,最低落札価格（電源属地別）[円/kW・30分],1.01,5.67,0.4,7.45,0,0,0.39,0.38,0.39,0.38
20260801B15,平均落札価格（電源属地別）[円/kW・30分],1.27,10.77,2.34,9.36,0,0,0.84,0.47,0.86,3.44
20260801B15,最高落札価格（TSO別）[円/kW・30分],9.5,14.06,9.19,14.03,1.93,9.19,2.13,1.8,5.8,14.06
20260801B15,最低落札価格（TSO別）[円/kW・30分],1.01,1.2,0.4,0.97,1.85,0.5,0.39,0.38,0.39,0.38
20260801B15,平均落札価格（TSO別）[円/kW・30分],1.27,9.39,2.11,5.87,1.91,2.99,0.84,0.47,0.86,3.44
20260801B15,落札量合計（TSO別）[MW],69.24,456,855.019,375.022,59,106,160.485,171,492.99,2744.756
20260801B15,（内訳）自エリアからの落札量[MW],69.24,347,855.019,208.022,0,0,160.485,171,492.99,2303.756
20260801B16,募集量（TSO別）[MW],69,344,70,246,61,129,27,60,239,1245
20260801B16,応札量合計（電源属地別）[MW],69.24,404,1271.221,147.607,0,0,171.105,215,627.98,2906.153
20260801B16,落札量合計（電源属地別）[MW],69.24,347,1271.221,147.607,0,0,171.105,184,589.98,2780.153
20260801B16,応札件数（電源属地別）[件],3,5,22,1,0,0,5,6,10,52
20260801B16,落札件数（電源属地別）[件],3,5,22,1,0,0,5,3,10,49
20260801B16,最高落札価格（電源属地別）[円/kW・30分],9.5,14.03,9.57,8.12,0,0,2.13,1.8,5.8,14.03
20260801B16,最低落札価格（電源属地別）[円/kW・30分],1.01,5.66,0.52,8.12,0,0,0.39,0.38,0.39,0.38
20260801B16,平均落札価格（電源属地別）[円/kW・30分],1.27,10.75,1.89,8.12,0,0,0.96,0.46,0.98,2.96
20260801B16,最高落札価格（TSO別）[円/kW・30分],9.5,14.03,9.57,9.57,2.15,2.21,2.13,1.8,5.8,14.03
20260801B16,最低落札価格（TSO別）[円/kW・30分],1.01,1.51,0.52,0.92,1.51,1.18,0.39,0.38,0.39,0.38
20260801B16,平均落札価格（TSO別）[円/kW・30分],1.27,8.53,1.74,5,2.02,1.73,0.96,0.46,0.98,2.96
20260801B16,落札量合計（TSO別）[MW],69.24,467,781.221,327.607,61,129,171.105,184,589.98,2780.153
20260801B16,（内訳）自エリアからの落札量[MW],69.24,347,781.221,147.607,0,0,171.105,184,589.98,2290.153
20260801B17,募集量（TSO別）[MW],64,344,70,246,61,129,28,58,241,1241
20260801B17,応札量合計（電源属地別）[MW],95.34,404,1256.153,147.622,0,0,171.105,217,426.98,2718.2
20260801B17,落札量合計（電源属地別）[MW],82,347,1256.153,147.622,0,0,171.105,186,426.98,2616.86
20260801B17,応札件数（電源属地別）[件],4,5,20,1,0,0,5,6,9,50
20260801B17,落札件数（電源属地別）[件],2,5,20,1,0,0,5,3,9,45
20260801B17,最高落札価格（電源属地別）[円/kW・30分],9.45,14.03,11.01,0.39,0,0,2.13,1.8,5.8,14.03
20260801B17,最低落札価格（電源属地別）[円/kW・30分],1.01,5.65,0.39,0.39,0,0,0.39,0.38,0.39,0.38
20260801B17,平均落札価格（電源属地別）[円/kW・30分],2.55,10.74,2.16,0.39,0,0,0.96,0.46,1.34,2.88
20260801B17,最高落札価格（TSO別）[円/kW・30分],9.45,14.03,11.01,1.55,2.53,2.53,2.13,1.8,5.8,14.03
20260801B17,最低落札価格（TSO別）[円/kW・30分],1.01,0.39,0.39,0.39,0.93,1.59,0.39,0.38,0.39,0.38
20260801B17,平均落札価格（TSO別）[円/kW・30分],2.55,8.3,2.5,0.95,1.87,2.21,0.96,0.46,1.34,2.88
20260801B17,落札量合計（TSO別）[MW],82,467,766.153,327.622,61,129,171.105,186,426.98,2616.86
20260801B17,（内訳）自エリアからの落札量[MW],82,347,766.153,147.622,0,0,171.105,186,426.98,2126.86
20260801B18,募集量（TSO別）[MW],71,344,70,246,62,113,25,56,241,1228
20260801B18,応札量合計（電源属地別）[MW],103.25,404,1214.512,147.607,0,0,171.104,217,440.98,2698.453
20260801B18,落札量合計（電源属地別）[MW],103,404,1214.512,147.607,0,0,171.104,186,440.98,2667.203
20260801B18,応札件数（電源属地別）[件],4,5,19,1,0,0,5,6,7,47
20260801B18,落札件数（電源属地別）[件],3,5,19,1,0,0,5,3,7,43
20260801B18,最高落札価格（電源属地別）[円/kW・30分],14.8,14,7.33,8.58,0,0,2.13,1.8,5.8,14.8
20260801B18,最低落札価格（電源属地別）[円/kW・30分],1.01,5.64,1.11,8.58,0,0,0.39,0.38,2.33,0.38
20260801B18,平均落札価格（電源属地別）[円/kW・30分],5.83,10.98,1.74,8.58,0,0,0.96,0.46,2.67,3.69
20260801B18,最高落札価格（TSO別）[円/kW・30分],14.8,14,7.33,8.58,1.79,1.84,2.13,1.8,5.8,14.8
20260801B18,最低落札価格（TSO別）[円/kW・30分],1.01,1.33,1.11,1.31,1.33,1.58,0.39,0.38,2.33,0.38
20260801B18,平均落札価格（TSO別）[円/kW・30分],5.83,9.7,1.85,4.62,1.54,1.76,0.96,0.46,2.67,3.69
20260801B18,落札量合計（TSO別）[MW],103,467,796.512,327.607,62,113,171.104,186,440.98,2667.203
20260801B18,（内訳）自エリアからの落札量[MW],103,404,796.512,147.607,0,0,171.104,186,440.98,2249.203
20260801B19,募集量（TSO別）[MW],75,352,221,330,41,24,3,81,226,1353
20260801B19,応札量合計（電源属地別）[MW],72.99,404,1135.682,355.644,0,0,203.879,230,656.98,3059.175
20260801B19,落札量合計（電源属地別）[MW],72.99,404,1135.682,355.644,0,0,203.879,192,654.99,3019.185
20260801B19,応札件数（電源属地別）[件],4,5,18,3,0,0,6,5,8,49
20260801B19,落札件数（電源属地別）[件],4,5,18,3,0,0,6,4,7,47
20260801B19,最高落札価格（電源属地別）[円/kW・30分],10.9,13.99,6.94,15,0,0,2.13,1.9,3.9,15
20260801B19,最低落札価格（電源属地別）[円/kW・30分],1.01,5.69,1.09,0.39,0,0,0.39,0.38,0.39,0.38
20260801B19,平均落札価格（電源属地別）[円/kW・30分],1.76,10.98,2.37,5.34,0,0,1.01,0.82,2.28,3.65
20260801B19,最高落札価格（TSO別）[円/kW・30分],10.9,13.99,6.94,15,4.93,6.94,2.13,1.9,3.9,15
