H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202608,一次調整力,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260801B15,落札量合計（電源属地別）[MW],121.24,127.728,426.817,120.054,3.127,91.438,104.383,50,171.617,1216.404
20260801B15,応札件数（電源属地別）[件],8,20,67,50,2,17,24,9,35,232
20260801B15,落札件数（電源属地別）[件],6,20,67,44,2,17,18,3,34,211
20260801B15,最高落札価格（電源属地別）[円/kW・30分],10,15,14.31,14.03,11.5,13.85,12.13,1.8,7.21,15
20260801B15,最低落札価格（電源属地別）[円/kW・30分],0.99,5.67,0.39,7.45,8.5,1.44,0.39,0.36,0.39,0.36
20260801B15,平均落札価格（電源属地別）[円/kW・30分],3.07,11.24,4.55,9.88,10.35,6.25,2.4,0.69,2.67,5.16
20260801B15,最高落札価格（TSO別）[円/kW・30分],10,15,14.31,14.03,11.5,13.85,12.13,1.8,7.21,15
20260801B15,最低落札価格（TSO別）[円/kW・30分],0.99,5.67,0.39,7.45,8.5,1.44,0.39,0.36,0.39,0.36
20260801B15,平均落札価格（TSO別）[円/kW・30分],3.07,11.24,4.55,9.88,10.35,6.25,2.4,0.69,2.67,5.16
20260801B15,落札量合計（TSO別）[MW],121.24,127.728,426.817,120.054,3.127,91.438,104,50,172,1216.404
20260801B15,（内訳）自エリアからの落札量[MW],121.24,127.728,426.817,120.054,3.127,91.438,104,50,171.617,1216.021
20260801B16,募集量（TSO別）[MW],63,191,586,245,59,161,104,44,173,1626
20260801B16,応札量合計（電源属地別）[MW],160.558,126.228,408.38,127.295,3.127,91.438,100.844,205.858,178.944,1402.672
20260801B16,落札量合計（電源属地別）[MW],121.24,126.228,408.38,108.278,3.127,91.438,100.844,51,173,1183.535
20260801B16,応札件数（電源属地別）[件],8,19,67,53,2,17,23,10,38,237
20260801B16,落札件数（電源属地別）[件],6,19,67,44,2,17,23,3,35,216
20260801B16,最高落札価格（電源属地別）[円/kW・30分],10.15,15,14.31,11.67,11.5,13.85,10.77,1.8,6,15
20260801B16,最低落札価格（電源属地別）[円/kW・30分],0.99,5.66,0.39,6.22,9,1.44,0.39,0.36,0.62,0.36
20260801B16,平均落札価格（電源属地別）[円/kW・30分],3.1,11.18,4.15,9.38,10.54,5.53,3.19,0.68,3.17,5.02
20260801B16,最高落札価格（TSO別）[円/kW・30分],10.15,15,14.31,11.67,11.5,13.85,10.77,1.8,6,15
20260801B16,最低落札価格（TSO別）[円/kW・30分],0.99,5.66,0.39,6.22,9,1.44,0.39,0.36,0.62,0.36
20260801B16,平均落札価格（TSO別）[円/kW・30分],3.1,11.18,4.15,9.38,10.54,5.53,3.19,0.68,3.17,5.02
20260801B16,落札量合計（TSO別）[MW],121.24,126.228,408.38,108.278,3.127,91.438,100.844,51,173,1183.535
20260801B16,（内訳）自エリアからの落札量[MW],121.24,126.228,408.38,108.278,3.127,91.438,100.844,51,173,1183.535
20260801B17,募集量（TSO別）[MW],63,191,586,245,59,161,104,44,173,1626
20260801B17,応札量合計（電源属地別）[MW],186.658,127.728,567.58,125.239,3.127,91.438,94.761,205.858,146.942,1549.331
20260801B17,落札量合計（電源属地別）[MW],134,127.728,567.58,108.22,3.127,91.438,94.761,51,139,1316.854
20260801B17,応札件数（電源属地別）[件],9,20,67,52,2,17,19,10,38,234
20260801B17,落札件数（電源属地別）[件],5,20,67,43,2,17,19,3,34,210
20260801B17,最高落札価格（電源属地別）[円/kW・30分],9.45,15,14.31,11.67,11,13.85,15,1.8,6,15
20260801B17,最低落札価格（電源属地別）[円/kW・30分],0.99,5.65,0.39,0.39,9,1.44,0.39,0.36,0.51,0.36
20260801B17,平均落札価格（電源属地別）[円/kW・30分],3.23,11.22,4.21,8.13,10.23,6.3,3.78,0.68,3.49,5.03
20260801B17,最高落札価格（TSO別）[円/kW・30分],9.45,15,14.31,11.67,11,13.85,15,1.8,6,15
20260801B17,最低落札価格（TSO別）[円/kW・30分],0.99,5.65,0.39,0.39,9,1.44,0.39,0.36,0.51,0.36
20260801B17,平均落札価格（TSO別）[円/kW・30分],3.23,11.22,4.21,8.13,10.23,6.3,3.78,0.68,3.49,5.03
20260801B17,落札量合計（TSO別）[MW],134,127.728,567.58,108.22,3.127,91.438,94.761,51,139,1316.854
20260801B17,（内訳）自エリアからの落札量[MW],134,127.728,567.58,108.22,3.127,91.438,94.761,51,139,1316.854
20260801B18,募集量（TSO別）[MW],63,191,586,245,59,161,104,44,173,1626
20260801B18,応札量合計（電源属地別）[MW],194.568,126.228,567.58,125.297,3.127,91.438,94.761,205.858,189.942,1598.799
20260801B18,落札量合計（電源属地別）[MW],141,126.228,567.58,108.278,3.127,91.438,94.111,51,182.889,1365.651
20260801B18,応札件数（電源属地別）[件],9,19,68,52,2,17,19,10,38,234
20260801B18,落札件数（電源属地別）[件],6,19,68,43,2,17,19,3,35,212
20260801B18,最高落札価格（電源属地別）[円/kW・30分],14.86,15,14.31,11.67,9.5,14,10.77,1.8,6.52,15
20260801B18,最低落札価格（電源属地別）[円/kW・30分],0.99,5.64,0.39,7.28,9,1.44,0.39,0.36,2.43,0.36
20260801B18,平均落札価格（電源属地別）[円/kW・30分],5.61,11.17,3.95,9.51,9.31,6.33,3.16,0.68,3.49,5.16
20260801B18,最高落札価格（TSO別）[円/kW・30分],14.86,15,14.31,11.67,9.5,14,10.77,1.8,6.52,15
20260801B18,最低落札価格（TSO別）[円/kW・30分],0.99,5.64,0.39,7.28,9,1.44,0.39,0.36,2.43,0.36
20260801B18,平均落札価格（TSO別）[円/kW・30分],5.61,11.17,3.95,9.51,9.31,6.33,3.41,0.68,3.36,5.16
20260801B18,落札量合計（TSO別）[MW],141,126.228,567.58,108.278,3.127,91.438,104,51,173,1365.651
20260801B18,（内訳）自エリアからの落札量[MW],141,126.228,567.58,108.278,3.127,91.438,94.111,51,173,1355.762
20260801B19,募集量（TSO別）[MW],63,206,576,249,61,160,108,46,178,1647
20260801B19,応札量合計（電源属地別）[MW],120.558,128.374,552.58,160.282,3.127,91.438,201.027,180.858,239.942,1678.186
