H,連系線確保量,対象年月,ブロック数,市場種別
P,速報値,202605,48,DCM
T,順方向元エリア,逆方向元エリア,DCM：連系線確保量上限値（順方向）[MW],DCM：連系線確保量上限値（逆方向）[MW],DCM：連系線確保量（順方向）[MW],DCM：連系線確保量（逆方向）[MW]
20260501B35,中国,四国,1200,19.869,0,19.869
20260501B35,中国,九州,470,0,48,0
20260501B36,北海道,東北,75,0,0,0
20260501B36,東北,東京,0,2360,0,467
20260501B36,東京,中部,399.108,0,0,0
20260501B36,中部関西,北陸,2186.094,1356.47,141.452,0
20260501B36,中部,北陸関西,970,0,374.598,0
20260501B36,中部北陸,関西,233.146,0,233.146,0
20260501B36,関西,中国,4600,0,152.242,0
20260501B36,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,96.242,0
20260501B36,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,152.242,0
20260501B36,関西,四国,0,0,0,0
20260501B36,中国,四国,1200,210.069,0,56
20260501B36,中国,九州,530,0,55.242,0
20260501B37,北海道,東北,0,75,0,75
20260501B37,東北,東京,0,2360,0,487
20260501B37,東京,中部,643.32,0,0,0
20260501B37,中部関西,北陸,2047.987,1289.141,82.03,0
20260501B37,中部,北陸関西,970,0,879.156,0
20260501B37,中部北陸,関西,970,0,797.126,0
20260501B37,関西,中国,4600,0,442.126,0
20260501B37,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,442.126,0
20260501B37,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,428.563,0
20260501B37,関西,四国,0,0,0,0
20260501B37,中国,四国,1200,259.565,13.563,0
20260501B37,中国,九州,620,0,266,0
20260501B38,北海道,東北,0,75,0,38.76
20260501B38,東北,東京,0,2360,0,450.76
20260501B38,東京,中部,643.32,0,0,0
20260501B38,中部関西,北陸,2061.187,1275.941,88,0
20260501B38,中部,北陸関西,970,0,896,0
20260501B38,中部北陸,関西,970,0,808,0
20260501B38,関西,中国,4600,0,453,0
20260501B38,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,453,0
20260501B38,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,428.563,0
20260501B38,関西,四国,0,0,0,0
20260501B38,中国,四国,1200,328.465,24.437,0
20260501B38,中国,九州,710,0,266,0
20260501B39,北海道,東北,0,75,0,75
20260501B39,東北,東京,0,2360,0,487
20260501B39,東京,中部,643.32,0,0,0
20260501B39,中部関西,北陸,2025.887,1311.241,84.982,0
20260501B39,中部,北陸関西,970,0,900,0
20260501B39,中部北陸,関西,970,0,815.018,0
20260501B39,関西,中国,4600,0,460.018,0
20260501B39,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,460.018,0
20260501B39,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,428.563,0
20260501B39,関西,四国,0,0,0,0
20260501B39,中国,四国,1200,316.865,37.038,5.583
20260501B39,中国,九州,720,0,266,0
20260501B40,北海道,東北,54.898,0,0,0
20260501B40,東北,東京,0,2360,0,408
20260501B40,東京,中部,643.32,0,10.426,0
20260501B40,中部関西,北陸,2064.487,1272.641,82.818,0
20260501B40,中部,北陸関西,970,0,925.426,0
20260501B40,中部北陸,関西,970,0,842.608,0
20260501B40,関西,中国,4600,0,487.608,0
20260501B40,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,487.608,0
20260501B40,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,425.563,0
20260501B40,関西,四国,0,0,0,0
20260501B40,中国,四国,1200,261.665,62.045,0
20260501B40,中国,九州,730,0,265,0
20260501B41,北海道,東北,75,0,0,0
20260501B41,東北,東京,0,2360,0,383
20260501B41,東京,中部,643.32,0,75.644,0
20260501B41,中部関西,北陸,2081.087,1056.041,74.862,0
20260501B41,中部,北陸関西,870,0,870,0
20260501B41,中部北陸,関西,870,0,795.138,0
20260501B41,関西,中国,4600,0,447.138,0
20260501B41,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,447.138,0
20260501B41,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,415.563,0
20260501B41,関西,四国,0,0,0,0
20260501B41,中国,四国,1200,243.165,31.575,0
20260501B41,中国,九州,730,0,260,0
20260501B42,北海道,東北,75,0,0,0
20260501B42,東北,東京,0,2360,0,299.583
20260501B42,東京,中部,643.32,0,244.893,0
